year,country,primary_energy_consumption,renewables_share_energy,population,gdp
1965,Algeria,24.833,4.763,12381262.0,35661975552.0
1966,Algeria,29.833,3.519,12613398.0,33932634112.0
1967,Algeria,28.247,4.292,12897121.0,37094768640.0
1968,Algeria,30.345,5.486,13190979.0,41423888384.0
1969,Algeria,33.539,3.183,13491022.0,45387460608.0
1970,Algeria,36.759,4.666,13795915.0,49945669632.0
1971,Algeria,39.733,2.456,14110269.0,45701218304.0
1972,Algeria,44.648,3.278,14439750.0,55293906944.0
1973,Algeria,53.251,4.176,14786473.0,57097850880.0
1974,Algeria,58.909,2.495,15153601.0,60577882112.0
1975,Algeria,70.37,1.378,15724698.0,64883814400.0
1976,Algeria,82.102,1.401,16500516.0,69150105600.0
1977,Algeria,90.213,0.882,17134196.0,75438030848.0
1978,Algeria,113.361,0.652,17632646.0,85103919104.0
1979,Algeria,148.54,0.579,18166982.0,92753895424.0
1980,Algeria,177.143,0.429,18739378.0,94481653760.0
1981,Algeria,215.186,0.503,19351356.0,96860520448.0
1982,Algeria,248.112,0.571,20000098.0,103073660928.0
1983,Algeria,270.967,0.256,20682110.0,108430385152.0
1984,Algeria,260.196,0.514,21393532.0,114406670336.0
1985,Algeria,262.297,0.728,22132910.0,120364212224.0
1986,Algeria,277.491,0.266,22882560.0,119145037824.0
1987,Algeria,285.168,0.517,23586098.0,118321217536.0
1988,Algeria,305.422,0.177,24243024.0,115821715456.0
1989,Algeria,297.068,0.225,24889516.0,119762436096.0
1990,Algeria,314.974,0.127,25518074.0,117843181568.0
1991,Algeria,312.095,0.278,26133906.0,121105154048.0
1992,Algeria,320.227,0.184,26748302.0,127982673920.0
1993,Algeria,297.995,0.35,27354326.0,130275762176.0
1994,Algeria,301.921,0.163,27937006.0,134279872512.0
1995,Algeria,313.145,0.182,28478024.0,145054695424.0
1996,Algeria,309.925,0.129,28984640.0,156579102720.0
1997,Algeria,297.86,0.074,29476030.0,164644454400.0
1998,Algeria,308.349,0.206,29924664.0,179962871808.0
1999,Algeria,311.434,0.193,30346086.0,193179811840.0
